Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,Guest Mem - %,Host,Guest OS,DNS Name,Notes
cfsbckgspweb04,Powered On,Normal,53.67  GB,53.67  GB,276,3613,23,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckgspweb04.GSPLVE.CAPITA.CO.UK,
cfsbckgspweb05,Powered On,Normal,53.67  GB,53.67  GB,69,3600,2,cfsbckitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckgspweb05.GSPLVE.CAPITA.CO.UK,Saga Web Server
cfsbckgspweb06,Powered On,Normal,53.69  GB,53.69  GB,92,3589,3,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckgspweb06.GSPLVE.CAPITA.CO.UK,Saga Web Server
cfsbckgspweb07,Powered On,Normal,53.72  GB,53.72  GB,621,3614,22,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckgspweb07.GSPLVE.CAPITA.CO.UK,
cfsbckgspweb08,Powered On,Normal,53.67  GB,53.67  GB,1265,3619,28,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckgspweb08.GSPLVE.CAPITA.CO.UK,
CFSBCKHBLAPP02,Powered On,Normal,321.22  GB,286.93  GB,2921,6224,25,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKHBLAPP02.adcfs.capita.co.uk,
CFSBCKHCMAPP01,Powered On,Normal,84.16  GB,84.16  GB,345,4147,9,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsbckhcmapp01.adcfs.capita.co.uk,
cfsbckhrtapp01,Powered On,Normal,154.11  GB,127.36  GB,115,3983,3,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSBCKHRTAPP01.adcfs.capita.co.uk,"IPO Server for Project Hertford.  Runs the Windows Service.
Only for duration of Project Hertford."
cfsbckiciweb01,Powered On,Normal,96.11  GB,96.11  GB,138,2731,4,cfsbckitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),cfsbckiciweb01.adcfs.capita.co.uk,
cfsbckintftp01,Powered On,Normal,52.8  GB,50  GB,184,1914,16,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSBCKINTFTP01.adcfs.capita.co.uk, IT Infrastructure - Internal GlobalScape SFTP Server
CFSBCKINTFTP02,Powered On,Normal,72.13  GB,72.13  GB,161,2080,21,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKINTFTP02.adcfs.capita.co.uk,
CFSBCKIPHAPP01,Powered On,Normal,106.22  GB,105.92  GB,644,6220,10,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKIPHAPP01.adcfs.capita.co.uk,
CFSBCKISAAPP01,Powered On,Normal,90.88  GB,58.6  GB,115,2094,10,cfsbckitiesx06.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckisaapp01.adcfs.capita.co.uk,IT Infrastructure - ISA Server - Mark Sargeant\Andy Emeny-Smith
cfsbckisaapp02,Powered On,Normal,57.8  GB,29.79  GB,115,2144,7,cfsbckitiesx05.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckisaapp02.adcfs.capita.co.uk,
CFSBCKITDAPP01,Powered On,Normal,56.57  GB,56.57  GB,322,6194,10,cfsbckitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSBCKITDAPP01,
CFSBCKITDAPP02,Powered On,Normal,86.22  GB,86.22  GB,276,6219,3,cfsbckitiesx07.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSBCKITDAPP02.adcfs.capita.co.uk,
cfsbckitiapp02,Powered On,Normal,36.02  GB,36.02  GB,69,2072,5,cfsbckitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsbckitiapp02.adcfs.capita.co.uk,
