Name,State,Status,Provisioned Space,Used Space,Host CPU,Host Mem,Guest Mem - %,Host,Guest OS,DNS Name,Notes
CFSNTHGSPLVEWEB,Powered On,Normal,63.61  GB,63.61  GB,50,3615,2,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthgsplveweb.GSPLVE.CAPITA.CO.UK,
CFSNTHGSPSTGSOP,Powered On,Normal,25.15  GB,25.15  GB,0,2076,4,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthgspstgsop.GSPSTG.CAPITA.CO.UK,
CFSNTHGSPSTGSQL,Powered On,Normal,145.3  GB,145.3  GB,25,3613,3,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthgspstgsql.GSPSTG.CAPITA.CO.UK,
CFSNTHGSPSTGWEB,Powered On,Normal,167.15  GB,167.15  GB,25,2077,10,cfsnthitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthgspstgweb.GSPSTG.CAPITA.CO.UK,
CFSNTHGSPTSTSOP,Powered On,Normal,30.11  GB,30.11  GB,25,2079,7,cfsnthitiesx02.adcfs.capita.co.uk,Microsoft Windows Server 2003 (32-bit),CFSNTHGSPTSTSOP.gsptest.capita.co.uk,
CFSNTHGSPTSTSQL,Powered On,Normal,155.68  GB,155.68  GB,50,3619,3,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSNTHGSPTSTSQL.gsptest.capita.co.uk,
CFSNTHGSPTSTWEB,Powered On,Normal,22.16  GB,22.16  GB,25,2088,5,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),CFSNTHGSPTSTWEB.gsptest.capita.co.uk,
CFSNTHGSPUATSOP,Powered On,Normal,139.56  GB,139.56  GB,861,2142,25,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthgspuatsop.gspuat.capita.co.uk,
CFSNTHGSPUATSQL,Powered On,Normal,145.69  GB,145.69  GB,101,3620,7,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthgspuatsql.gspuat.capita.co.uk,
CFSNTHGSPUATWEB,Powered On,Normal,40.11  GB,40.11  GB,0,2076,5,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2003 Standard (32-bit),cfsnthgspuatweb.gspuat.capita.co.uk,
cfsnthitidc01,Powered On,Normal,114.12  GB,114.12  GB,101,4138,18,cfsnthitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsnthitidc01.adcfs.capita.co.uk,
cfsnthitidc02,Powered On,Normal,114.13  GB,114.13  GB,455,4138,14,cfsnthitiesx04.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),cfsnthitidc02.adcfs.capita.co.uk,
CFSNTHITIKMS01,Powered On,Normal,82.12  GB,28.64  GB,25,2080,18,cfsnthitiesx03.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSNTHITIKMS01.adcfs.capita.co.uk,
CFSNTHITINFS02,Powered On,Normal,436.11  GB,378.02  GB,50,4591,5,cfsnthitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2012 (64-bit),CFSNTHITINFS02.adcfs.capita.co.uk,
CFSNTHITIPRI01,Powered On,Normal,88.12  GB,88.12  GB,1291,8198,12,cfsnthitiesx01.adcfs.capita.co.uk,Microsoft Windows Server 2008 R2 (64-bit),CFSNTHITIPRI01.adcfs.capita.co.uk,
